"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业","昨收","最高","最低"
"1","CTTC","CALMARE THERAPEUTICS INC","0.025","25000.00%","195.78","0.025","-","0","0","25000.00%","25000.00%","25000.00%","250900.00%","-53.26%","-77.18%","250900.00%","-","0.000","0.025","0.025"
"2","RGSEQ","REAL GOODS SOLAR INC","0.000","9900.00%","0.501","0.000","-","12061.257","12061.257","9900.00%","9900.00%","9900.00%","-90.00%","0.00%","-99.20%","9900.00%","-","0.000","0.000","0.000"
"3","NUGX","NUGENEREX IMMUNO-ONCOLOGY INC","0.000","9900.00%","108.84","0.000","亏损","10030","10030","9900.00%","0.00%","-96.55%","-96.55%","-99.96%","-99.99%","-99.00%","-","0.000","0.010","0.000"
"4","COTRP","CORTS TRUST J C PENNEY 7.625% CORPORATE-BACKED TR SECS CTF","0.030","197.03%","258.7","0.030","-","0","0","1100.00%","2627.27%","5900.00%","5900.00%","0.00%","-50.90%","5900.00%","-","0.010","0.040","0.030"
"5","SBOX","SUPERBOX INC","0.199","174.29%","39.8","0.199","-","0","0","-16.39%","-16.39%","-18.78%","13.71%","32.67%","53.08%","42.14%","-","0.073","0.199","0.199"
"6","CANQF","CANAQUEST MEDICAL CORPORATION","0.300","172.73%","30","0.300","亏损","0","0","0.00%","0.00%","0.00%","0.00%","-9.09%","36.36%","0.00%","-","0.110","0.300","0.300"
"7","TNMD","TIANRONG MED GROUP INC","0.074","154.12%","710.147","0.055","-","0","0","70.00%","68.07%","76.07%","5.64%","-70.28%","-76.21%","-28.27%","-","0.029","0.074","0.055"
"8","TRCK","TRACK GROUP INC","3.300","153.85%","31003.238","1.560","亏损","37824487.8","37824487.8","120.00%","120.00%","144.44%","54.21%","60.19%","151.91%","44.74%","-","1.300","2.350","1.560"
"9","FCTI","FACT INC","0.064","107.74%","1484.496","0.055","亏损","3555954.192","3555954.192","57.07%","57.07%","107.74%","-81.06%","-59.75%","-91.98%","80.39%","-","0.031","0.065","0.042"
"10","RAFFF","Raffles Financial Group","4.750","106.52%","950","4.750","亏损","237880000","237880000","-5.00%","19.05%","20.56%","97.92%","-5.19%","-20.01%","50.21%","-","2.300","4.750","4.750"
"11","SRSCQ","SEARS CANADA INC","0.000","100.00%","0.186","0.000","-","20375.532","20375.532","100.00%","100.00%","100.00%","-96.92%","-96.92%","-94.87%","-96.92%","-","0.000","0.000","0.000"
"12","CXKJ","CX NETWORK GROUP INC","2.300","98.28%","20628.587","1.380","亏损","92000000","92000000","105.36%","130.00%","130.00%","669.23%","475.00%","2197.70%","515.38%","-","1.160","2.310","1.380"
"13","ACAI","SAFEPLUS INTL HLDGS LTD","0.250","89.17%","2948.363","0.238","-","595666.887","595666.887","38.83%","89.32%","37.04%","24.89%","-0.04%","-89.54%","42.80%","-","0.132","0.250","0.238"
"14","MDVL","MedAvail","2.440","69.44%","133604093","1.410","亏损","172041769.68","92886425.08","73.05%","151.26%","171.11%","60.53%","-5.43%","-81.07%","74.29%","医药零售商","1.440","2.670","1.340"
"15","GNBT","GENEREX BIOTECHNOLOGY CORP","0.005","66.67%","348.381","0.003","亏损","592231.735","525782.435","212.50%","5.26%","354.55%","-90.91%","-96.70%","-98.06%","-91.92%","-","0.003","0.005","0.003"
"16","INDO","Indonesia Energy","26.400","65.93%","239384300","15.180","亏损","201886449.6","41130012","31.08%","16.61%","-20.43%","575.19%","524.11%","400.95%","842.86%","油气E&P","15.910","27.750","14.320"
"17","ATMH","ALL THINGS MOBILE ANALYTIC INC","0.120","63.25%","985.752","0.110","-","0","0","63.70%","0.42%","0.42%","-0.42%","-10.82%","-33.61%","-4.40%","-","0.073","0.120","0.100"
"18","CRLWF","CRESCO LABS INC C/WTS 24/09/22 SUB VTG (TO PUR COM)","0.320","60.00%","181.44","0.320","-","0","0","-20.00%","2.63%","-26.94%","-71.83%","-87.30%","-93.68%","-78.52%","-","0.200","0.320","0.320"
"19","SMKG","SMART CARD MARKETING SYSTEMS INC","0.065","55.13%","2764.322","0.060","-","30714872.89","30714872.89","-6.20%","-4.41%","34.99%","17.97%","-5.80%","-18.75%","-31.58%","-","0.042","0.066","0.052"
"20","UMAX","UMAX GROUP CORP","0.059","50.93%","140456.249","0.048","亏损","0","0","5.55%","7.57%","-21.23%","-45.24%","-37.58%","-72.56%","-30.59%","-","0.039","0.088","0.040"
"21","CLOER","CLOVER LEAF CAPITAL CORP COM USD0.0001 CL A (S/R 31/05/2028)","0.240","48.61%","207","0.240","-","0","0","-5.62%","-5.62%","-22.08%","-45.45%","-45.45%","-45.45%","-45.45%","-","0.162","0.240","0.240"
"22","DELCF","DELIC HOLDINGS CORP","0.051","46.00%","5079.237","0.035","亏损","3532309.932","3532309.932","5.45%","-21.38%","-28.35%","-52.47%","-72.57%","-81.45%","-50.96%","-","0.035","0.053","0.035"
"23","LAIXY","LAIX INC SPON ADS EACH REP 14 ORD CL A SHS","1.800","44.00%","4175.018","1.500","亏损","6415441.2","6415441.2","-87.14%","-87.14%","-87.14%","-87.14%","-87.14%","-87.14%","-87.14%","-","1.250","1.800","1.500"
"24","FIFG","FIRST FOODS GROUP INC","0.240","42.86%","301.56","0.240","亏损","6219600.96","6219600.96","-4.00%","-5.88%","0.00%","17.07%","51.61%","-2.04%","14.29%","-","0.168","0.240","0.180"
"25","CMLS","积云媒体","14.210","39.86%","10535841","10.240","17.120","293731996.95","260942535.63","42.53%","42.81%","37.03%","32.19%","11.89%","53.95%","26.31%","广播","10.160","14.640","10.190"
"26","HUSA","休斯敦能源","4.860","38.46%","86526749","3.380","亏损","48251722.68","44235438.12","26.89%","9.46%","-26.92%","194.55%","158.51%","232.88%","239.86%","油气E&P","3.510","5.050","3.220"
"27","COPHF","CRESO PHARMA LTD","0.050","36.99%","610.001","0.060","亏损","64814625.1","64814625.1","-26.47%","-49.49%","-2.91%","-27.54%","-35.90%","-68.75%","-9.09%","-","0.037","0.060","0.050"
"28","ATCC","AMERITRUST CORP","0.193","36.92%","29.021","0.193","亏损","0","0","35.77%","35.77%","38.00%","-12.53%","-54.07%","-88.94%","-12.97%","-","0.141","0.193","0.193"
