"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","JFU","玖富","1.150","19.79%","247262","0.990","亏损","266022226.25","87515366.85","22.43%","27.00%","33.57%","3.60%","-29.45%","-25.81%","4.55%","信息技术处"
"2","PLAG","美国绿星球","0.991","15.19%","814791","0.871","亏损","42181659.858","29757554.658","5.38%","7.12%","16.53%","25.69%","-24.95%","-54.14%","-2.88%","包装食品"
"3","RERE","万物新生(爱回收)","4.330","12.47%","2260920","3.870","亏损","1116274658.16","350779959.54","10.46%","19.28%","33.23%","-27.95%","-52.00%","-69.07%","-27.10%","互联网零售"
"4","CJJD","九洲大药房","3.000","7.91%","686830","2.800","亏损","10437945","6869577","-19.74%","-18.70%","-17.98%","-35.22%","-58.80%","-76.19%","-33.40%","医药零售商"
"5","EM","怪兽充电","1.430","7.65%","55236","1.310","亏损","376713584.39","47040251.83","8.33%","15.32%","60.67%","-36.16%","-51.69%","-82.92%","-2.05%","个人服务"
"6","FEDU","四季教育","0.571","7.21%","74290","0.550","亏损","25253664.447","9242065.46","-12.17%","-20.71%","0.16%","-12.87%","-40.81%","-46.14%","-17.26%","教育及培训服务"
"7","FANH","泛华控股集团","7.380","6.96%","184117","7.000","10.109","396266066.82","289265778.9","0.54%","2.93%","11.14%","2.93%","-42.46%","-40.90%","1.37%","保险经纪"
"8","MOHO","易恒健康","0.250","6.30%","375993","0.230","亏损","11605199.562","6641480.594","-9.29%","-2.00%","10.58%","-34.56%","-55.35%","-86.49%","-38.30%","互联网零售"
"9","GRCL","亘喜生物","2.300","5.99%","741682","2.160","亏损","155466165.5","46032547.3","2.68%","3.14%","-9.80%","-54.00%","-82.39%","-82.23%","-61.92%","生物技术"
"10","QD","趣店","1.260","5.88%","812523","1.200","3.500","318891129.48","235963161","1.61%","3.28%","75.00%","8.62%","-21.25%","-37.62%","30.02%","信贷服务"
"11","DTSS","数海信息","3.040","5.57%","461812","2.870","亏损","73702155.2","18069343.52","8.19%","15.15%","27.73%","130.30%","67.03%","-3.49%","94.87%","软件-基础设施"
"12","XIN","鑫苑置业","1.140","5.56%","41807","1.090","亏损","61421900.4","27769490.28","4.59%","-1.72%","75.41%","72.73%","-2.56%","-55.81%","80.95%","房地产-开发"
"13","TAOP","淘屏","1.390","5.30%","31567","1.350","亏损","21563910.95","14887832.69","-0.71%","2.21%","-15.24%","-14.20%","-52.40%","-77.62%","-26.46%","软件-基础设施"
"14","CCM","泰和诚医疗","1.828","5.08%","6731","1.720","亏损","79384059.675","24320151.772","10.81%","-1.17%","-2.74%","-2.74%","-31.78%","-54.29%","-8.58%","医疗设施"
"15","HNP","华能电力","17.650","5.06%","287193","17.650","亏损","6926783677.45","3251855220.85","0.97%","2.56%","-17.64%","-19.48%","-9.30%","36.19%","-33.17%","公用事业-独立发电商"
"16","RLX","雾芯科技","1.870","5.06%","14824617","1.810","9.211","2927916665.19","648064525.9","1.08%","-4.59%","25.50%","-51.93%","-68.41%","-79.67%","-52.05%","烟草"
"17","BEKE","贝壳","15.220","4.82%","156337307","14.720","亏损","18219418154.36","8022848374.92","8.64%","25.47%","51.59%","-33.19%","-30.06%","-69.20%","-24.35%","房地产服务"
"18","COE","51Talk","1.660","4.40%","108465","1.590","2.213","35697156.26","24915848.02","-1.78%","16.90%","39.50%","50.91%","-30.25%","-92.78%","37.19%","教育及培训服务"
"19","HOLI","和利时自动化","16.980","4.11%","7158414","16.210","11.630","1052104555.02","884942941.38","3.54%","0.16%","36.11%","21.51%","-12.36%","34.63%","23.06%","电气设备及零件"
"20","RGC","脑再生科技","23.500","3.98%","1069514","22.700","亏损","304726967.5","36430593","1.51%","-21.77%","-26.56%","-34.52%","30.70%","147.37%","-26.22%","药品制造商-专业和非专利"
"21","AGMH","安高盟","2.090","3.98%","3137963","2.030","亏损","50692619.78","31060336.45","0.97%","0.00%","28.22%","-14.69%","-81.57%","-82.72%","-12.92%","软件 - 应用"
"22","XYF","小赢科技","2.820","3.68%","189759","2.700","1.220","154685431.8","52124736.18","2.92%","1.81%","8.05%","-6.00%","-37.19%","-10.76%","-6.31%","信贷服务"
"23","ITP","互联网科技包装","0.220","3.53%","67652","0.215","11.000","21790978","20598322.58","-3.93%","-3.49%","9.13%","-3.93%","-37.78%","-59.71%","-4.35%","纸及纸制品"
"24","BNSO","恒星电子国际","3.417","3.40%","2689","3.300","10.050","16598465.135","3885435.927","-3.06%","-3.74%","-12.82%","-24.40%","-40.26%","-49.52%","-21.26%","科技仪器"
"25","OCG","东方文化","3.660","3.39%","461569","3.510","28.153","77023645.92","40707295.92","-7.34%","-16.25%","-10.29%","-32.10%","-4.44%","-42.81%","-28.38%","互联网零售"
"26","QLI","祁连国际","1.850","3.35%","125804","1.760","21.022","66137500","14916550","8.82%","8.82%","8.82%","-26.00%","-52.64%","-57.86%","-30.19%","药品制造商-专业和非专利"
"27","IH","洪恩","2.340","3.08%","34304","2.420","亏损","124779273.84","33370162.02","11.38%","14.15%","27.87%","-25.71%","-53.94%","-80.82%","-16.43%","教育及培训服务"
