"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","量比","委比","盘前最新价","盘后最新价","盘前涨跌幅","盘后涨跌幅","盘前成交额","盘后成交额","盘前振幅%","盘后振幅%","盘前涨跌额","盘后涨跌额","资产规模","总发行量","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅"
"1","OILU","MICROSECTORS OIL & GAS EXP. & PROD. 3X LEVERAGED ETN","59.630","+4.980","9.11%","0.02%","96.57%","187.10%","0.000","0.000","0","0","82018","4815488","55.520","54.650","60.090","55.440","8.20","0.03","8.51","1.81","0.00%","55.120","0.000","0.86%","0.00%","56112.4","0","7.41","0.00","+0.470","0.000","5270.00万","1000000","8.18%","1.67%","15.74%","140.44%","140.44%"
"2","NRGU","MicroSectors美国石油指数每日三倍做多ETN","471.810","+38.310","8.84%","0.69%","89.76%","190.56%","0.000","0.000","0","0","170965","78514724","437.000","433.500","473.000","437.000","4.50","0.49","8.30","1.57","0.00%","433.000","475.110","-0.12%","0.70%","76221.98","33461.72","1.63","4.69","-0.500","+3.300","15.66亿","3800000","8.71%","5.12%","19.20%","142.68%","259.23%"
"3","ONG","DIREXION DAILY OIL SERVICES BULL 2X SHARES","41.475","+3.033","7.89%","-0.01%","59.29%","59.29%","0.000","0.000","0","0","23652","962486","39.000","38.442","41.625","39.000","5.91","-0.16","6.83","1.40","0.00%","0.000","35.000","0.00%","-15.61%","0","70","0.00","0.00","0.000","-6.475","1330.00万","400000","2.22%","-1.93%","1.89%","59.29%","59.29%"
"4","PALL","Abrdn Palladium ETF Trust","225.000","+16.000","7.66%","0.20%","26.16%","27.72%","0.000","0.000","0","0","202105","45516041","224.880","209.000","229.489","221.000","9.62","0.69","4.06","4.28","0.00%","225.000","227.000","7.66%","0.89%","512361.99","111944.24","2.44","1.76","+16.000","+2.000","4.37亿","2100000","6.17%","3.54%","-13.38%","19.71%","-10.14%"
"5","SOXS","Direxion每日半导体三倍做空ETF","49.080","+3.280","7.16%","-0.35%","40.23%","43.51%","0.000","0.000","0","0","9938022","479373743","46.820","45.800","49.310","46.700","180.69","-0.10","5.70","0.89","0.00%","46.720","49.250","2.01%","0.35%","1872464.286","698920.867","5.94","0.81","+0.920","+0.170","2.54亿","5500000","24.10%","40.63%","-5.98%","-23.79%","-44.60%"
"6","GDXU","MICROSECTORS GOLD MINERS 3X LEVERAGED ETN","18.010","+1.090","6.44%","-0.06%","65.23%","57.71%","0.000","0.000","0","0","655084","11700548","17.170","16.920","18.280","17.140","16.38","-0.39","6.74","1.11","0.00%","16.560","17.800","-2.13%","-1.17%","513.91","6548.4","2.38","2.22","-0.360","-0.210","6440.00万","4000000","0.39%","3.92%","5.82%","49.83%","-1.15%"
"7","LABD","Direxion每日标普生物技术三倍做空ETF","33.850","+2.000","6.28%","-0.41%","-0.65%","31.51%","0.000","0.000","0","0","4940566","162038450","32.020","31.850","34.090","31.480","197.62","0.03","8.20","0.89","0.00%","32.189","33.850","1.07%","0.00%","282692.972","1335539.186","3.08","2.25","+0.339","0.000","7730.00万","2500000","9.19%","-6.62%","-26.64%","48.53%","46.98%"
"8","PFIX","SIMPLIFY INTEREST RATE HEDGE ETF","56.500","+3.130","5.86%","0.20%","42.83%","50.52%","0.000","0.000","0","0","258153","14508835","54.230","53.370","57.640","54.090","6.62","0.04","6.65","1.16","0.00%","0.000","57.999","0.00%","2.65%","0","58","0.00","0.00","0.000","+1.499","1.93亿","3900000","18.18%","13.23%","26.00%","40.04%","12.92%"
"9","BERZ","MICROSECTORS FANG & INNOVATION -3X INVERSE LEVERAGED ETN","23.610","+1.270","5.68%","-0.25%","27.29%","32.63%","0.000","0.000","0","0","45744","1063362","22.660","22.340","23.720","22.660","15.25","-0.30","4.75","0.47","0.00%","22.600","0.000","1.16%","0.00%","14252","0","5.19","0.00","+0.260","0.000","669.99万","300000","14.50%","13.62%","-28.35%","14.00%","-4.99%"
"10","ERX","每日两倍做多能源ETF-Direxion","59.950","+3.130","5.51%","0.08%","56.81%","103.58%","0.000","0.000","0","0","6659157","394453944","57.130","56.820","60.230","57.130","54.14","0.03","5.46","1.28","0.00%","57.089","60.450","0.47%","0.83%","121324.225","2939913.981","1.13","1.00","+0.269","+0.500","6.82亿","12300000","6.29%","1.77%","8.17%","92.20%","159.51%"
