"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","PHIO","Phio Pharmaceuticals","2.350","159.18%","235079502","0.880","亏损","31807240.6","31210561.5","168.88%","159.90%","205.27%","153.48%","40.72%","-2.89%","135.00%","生物技术"
"2","MDVL","MedAvail","1.960","39.01%","440726899","1.870","亏损","138197487.12","94763624.48","96.00%","81.48%","115.41%","54.33%","-28.21%","-85.15%","40.00%","医药零售商"
"3","LYRA","Lyra Therapeutics","5.280","22.22%","28921720","4.910","亏损","68692250.88","32896633.44","27.23%","14.78%","21.66%","26.01%","-33.25%","-51.52%","21.10%","生物技术"
"4","ATER","Aterian","4.670","21.30%","394840649","4.600","亏损","289976967.23","166775147.41","100.43%","92.98%","99.57%","27.60%","-42.98%","-82.36%","13.63%","-"
"5","APTX","Aptinyx","1.380","15.97%","3129689","1.160","亏损","93447690.84","62378021.7","-40.00%","-47.92%","-53.22%","-51.24%","-37.84%","-51.06%","-48.31%","生物技术"
"6","BFRI","Biofrontera","4.620","14.36%","180413520","4.800","亏损","79023940.38","23072280","31.62%","55.03%","96.60%","-15.38%","-7.41%","-7.41%","-38.56%","药品制造商-专业和非专利"
"7","TKAT","Takung Art","3.910","14.33%","69901736","3.560","亏损","54573250.23","34155593.86","7.42%","72.25%","117.22%","11.71%","-49.94%","-85.20%","-3.46%","互联网零售"
"8","RERE","万物新生(爱回收)","4.330","12.47%","2260920","3.870","亏损","1116274658.16","350779959.54","10.46%","19.28%","33.23%","-27.95%","-52.00%","-69.07%","-27.10%","互联网零售"
"9","XPON","Expion360","5.910","11.30%","19151862","5.190","亏损","38089950","12676950","-25.47%","-15.57%","-15.57%","-15.57%","-15.57%","-15.57%","-15.57%","电气设备及零件"
"10","EPAM","EPAM Systems","308.690","10.13%","493745125","283.560","37.876","17557836203.91","17014172919.36","7.54%","15.72%","54.24%","-45.95%","-51.22%","-28.28%","-53.82%","信息技术处"
"11","NAT","Nordic American Tankers","2.840","8.81%","38550397","2.730","亏损","552264088.24","538587616.68","30.28%","50.26%","40.59%","64.93%","18.72%","-6.31%","68.83%","海运"
"12","EURN","Euronav","13.010","8.42%","71469920","12.120","亏损","2623830532.81","2018133069.81","17.95%","25.22%","22.97%","38.55%","20.95%","56.06%","46.34%","油气中流"
"13","HYMC","Hycroft Mining","2.160","8.00%","72950917","1.920","亏损","425095471.44","288832400.64","0.00%","68.75%","14.89%","339.47%","34.58%","-41.94%","251.96%","黄金"
"14","CJJD","九洲大药房","3.000","7.91%","686830","2.800","亏损","10437945","6869577","-19.74%","-18.70%","-17.98%","-35.22%","-58.80%","-76.19%","-33.40%","医药零售商"
"15","RAD","来爱德","7.510","7.44%","62804678","7.010","亏损","418924126.74","406873618.29","-9.74%","-22.97%","-17.47%","-40.11%","-44.98%","-60.58%","-48.88%","医药零售商"
