"序号","代码","名称","最新价","涨跌额","涨跌幅","60日涨跌幅","年初至今涨跌幅","成交量","成交额","今开","换手率%","市盈率","总市值","总股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","昨收","最高","最低"
"1","BK2257","石油和天然气设备和服务","727.435","+27.923","3.99%","28.77%","50.57%","78937935","1974680529","702.900","1.15","-79.317","211792735591.601","8217594192","1.79%","-0.85%","1.87%","31.73%","53.59%","699.512","728.410","699.513"
"2","BK2058","油气E&P","938.529","+31.229","3.44%","24.59%","42.20%","300079203","9709118147","910.943","1.95","34.878","842467889991.6429","17672756515","1.31%","-1.08%","7.56%","38.32%","73.51%","907.300","941.409","907.299"
"3","BK2093","白银","1674.838","+52.400","3.23%","16.03%","13.48%","12547701","155864138","1623.961","1.29","66.161","13031835447.85","1037348805","1.00%","0.03%","0.70%","7.72%","-16.16%","1622.438","1686.550","1622.438"
"4","BK2585","页岩油","1564.750","+47.762","3.15%","32.02%","48.85%","118295113","8094895213","1521.477","1.56","21.876","770320181427.02","7760480345","3.34%","0.12%","4.31%","50.97%","83.41%","1516.988","1569.971","1516.986"
"5","BK2507","其他贵金属和采矿","585.003","+17.123","3.02%","5.60%","8.63%","13307221","61821469","568.898","0.75","-17.916","9572121136.798","2346462221","0.08%","-1.60%","-4.26%","5.91%","-19.68%","567.880","589.452","567.880"
"6","BK2274","油气钻井","1191.777","+34.431","2.97%","44.76%","70.66%","19970457","221645793","1164.366","1.62","-2.646","17518647648.51","1387001522","0.59%","-1.58%","3.33%","37.61%","213.86%","1157.346","1196.940","1157.343"
"7","BK2460","家居装修零售","1889.321","+45.149","2.45%","-19.42%","-23.84%","16202742","2980112196","1836.019","0.78","19.216","473955135027.52","2298008575","2.71%","-0.85%","-3.43%","-12.13%","-5.64%","1844.172","1896.922","1832.933"
"8","BK2110","黄金","462.980","+10.057","2.22%","25.74%","25.03%","159123808","1948948786","455.802","1.03","29.566","299134757125.227","16784290223","0.40%","2.80%","3.11%","25.58%","17.62%","452.923","464.602","452.924"
"9","BK2462","公用事业-独立发电商","930.723","+19.373","2.13%","-3.76%","-9.92%","9276854","255880640","912.617","0.82","-25.311","31561672723.48","1402622040","2.98%","6.40%","0.08%","1.69%","2.46%","911.350","931.761","911.350"
"10","BK2487","热煤","1156.391","+23.381","2.06%","48.91%","73.08%","9712057","387708917","1142.542","3.52","9.849","10379711812.7","366022422","3.62%","2.09%","9.17%","74.20%","280.30%","1133.010","1186.547","1111.482"
"11","BK2010","农业投入","2798.176","+54.576","1.99%","34.67%","35.75%","24914735","1879593489","2760.147","0.82","21.442","195796783899.988","3824777828","4.12%","-0.60%","9.94%","46.02%","52.87%","2743.600","2822.187","2743.600"
"12","BK2581","枪械制造","3000.540","+58.414","1.99%","-3.20%","-6.97%","2358044","124194876","2941.553","1.13","7.218","11777031793.2","228019036","2.44%","3.70%","9.47%","1.15%","26.88%","2942.126","3030.989","2941.553"
"13","BK2095","杂货店","1782.243","+33.766","1.93%","21.37%","19.47%","29121591","1002258441","1790.119","2.06","39.873","82684351196.84","2420720650","5.92%","7.24%","10.01%","20.32%","28.53%","1748.477","1806.871","1748.477"
"14","BK2220","医疗分销","1516.585","+27.985","1.88%","20.42%","22.44%","11891113","1219304475","1490.959","1.12","-124.643","124891143796.5","1204125655","5.00%","5.01%","13.51%","32.70%","32.23%","1488.600","1524.027","1488.600"
"15","BK2429","保险-综合性","1722.118","+30.222","1.79%","8.72%","16.08%","23428692","3521470703","1695.716","0.34","8.895","1754818810500.165","8548583059","0.35%","-1.43%","8.28%","20.92%","28.96%","1691.896","1727.108","1691.896"
"16","BK2582","天然气","1304.919","+22.773","1.78%","20.01%","26.99%","123808761","6959415648","1285.448","0.84","24.919","1210447540485.75","15867637876","2.72%","2.25%","5.93%","32.28%","42.28%","1282.146","1309.036","1282.145"
"17","BK2224","油气一体化","994.456","+16.724","1.71%","16.72%","30.88%","122613277","6078680613","979.088","0.38","12.033","1842289663441.8821","43764605363","2.16%","1.37%","6.18%","22.49%","46.40%","977.732","997.242","977.731"
