"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业","昨收","最高","最低"
"1","PHIO","Phio Pharmaceuticals","2.350","159.18%","235079502","0.880","亏损","31807240.6","31210561.5","168.88%","159.90%","205.27%","153.48%","40.72%","-2.89%","135.00%","生物技术","0.907","2.420","0.870"
"2","MDVL","MedAvail","1.960","39.01%","440726899","1.870","亏损","138197487.12","94763624.48","96.00%","81.48%","115.41%","54.33%","-28.21%","-85.15%","40.00%","医药零售商","1.410","2.620","1.760"
"3","BCYC","Bicycle Therapeutics","46.990","24.54%","166267296","37.420","亏损","1390838965.84","913275742.66","8.17%","11.35%","5.86%","-7.45%","-17.92%","56.84%","-22.80%","生物技术","37.730","50.470","35.870"
"4","ATER","Aterian","4.670","21.30%","394840649","4.600","亏损","289976967.23","166775147.41","100.43%","92.98%","99.57%","27.60%","-42.98%","-82.36%","13.63%","-","3.850","4.930","4.170"
"5","EAST","Eastside Distilling","1.350","20.54%","1715786","1.200","亏损","20197957.5","18762300","37.66%","37.76%","28.57%","-21.97%","-50.00%","-25.00%","-24.58%","饮料-酒厂和酿酒厂","1.120","1.490","1.160"
"6","APTX","Aptinyx","1.380","15.97%","3129689","1.160","亏损","93447690.84","62378021.7","-40.00%","-47.92%","-53.22%","-51.24%","-37.84%","-51.06%","-48.31%","生物技术","1.190","1.420","1.150"
"7","TKAT","Takung Art","3.910","14.33%","69901736","3.560","亏损","54573250.23","34155593.86","7.42%","72.25%","117.22%","11.71%","-49.94%","-85.20%","-3.46%","互联网零售","3.420","4.430","3.480"
"8","PTE","PolarityTE","0.214","12.88%","2798265","0.209","亏损","21247704.736","18525833.011","-10.91%","-30.33%","-42.20%","-68.74%","-62.47%","-77.95%","-63.56%","生物技术","0.190","0.253","0.192"
"9","FRO","Frontline","9.810","12.37%","60193117","9.170","亏损","1996638903.99","1215096775.56","6.86%","12.50%","18.48%","25.45%","6.86%","41.56%","38.76%","油气中流","8.730","9.840","9.120"
"10","RVPH","Reviva Pharmaceuticals","2.320","12.08%","138081","2.110","亏损","35109223.52","20748196.16","-5.69%","8.92%","36.47%","-1.69%","-36.09%","-46.05%","-19.72%","生物技术","2.070","2.350","2.070"
"11","NRIX","Nurix Therapeutics","14.820","11.76%","7847791","13.310","亏损","664737999.12","524663760.66","6.24%","6.54%","7.70%","-38.17%","-47.89%","-50.58%","-48.81%","生物技术","13.260","15.457","13.250"
"12","SND","Smart Sand","4.490","11.69%","3020138","4.100","亏损","201178904.08","100344378.86","26.48%","27.56%","43.91%","111.79%","73.36%","77.47%","152.25%","石油和天然气设备和服务","4.020","4.490","3.950"
"13","LFLY","Leafly","9.300","11.38%","1530816","8.430","亏损","399192567.6","257814283.8","7.64%","13.41%","45.54%","-7.09%","-7.00%","-7.09%","-6.91%","医药零售商","8.350","9.400","8.350"
"14","CVEO","Civeo","26.480","11.03%","2378314","23.940","亏损","375625923.12","277124056.8","12.63%","10.24%","9.69%","31.94%","15.03%","70.40%","38.13%","专业商业服务","23.850","26.920","23.940"
"15","ASC","Ardmore Shipping","5.510","10.87%","4930757","5.020","亏损","189345000.84","182691907.26","20.04%","21.37%","34.72%","57.88%","28.44%","39.49%","63.02%","海运","4.970","5.570","4.990"
"16","EMBC","Embecta","32.540","10.68%","108689512","28.900","5.591","1854780000","1854780000","6.69%","-24.34%","-32.21%","-32.21%","-32.21%","-32.21%","-32.21%","药品制造商-专业和非专利","29.400","34.170","28.300"
