"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业","昨收","最高","最低"
"1","ANTH","Anthera制药","0.000","19900.00%","3.6","0.000","-","5235.86","5226.645","19900.00%","19900.00%","19900.00%","19900.00%","-75.00%","-99.72%","19900.00%","-","0.000","0.000","0.000"
"2","PHIO","Phio Pharmaceuticals","2.350","159.18%","235079502","0.880","亏损","31807240.6","31210561.5","168.88%","159.90%","205.27%","153.48%","40.72%","-2.89%","135.00%","生物技术","0.907","2.420","0.870"
"3","KEGX","KEY ENERGY SVCS","2.500","147.52%","22100","2.500","亏损","34453367.5","34429250","147.52%","147.52%","-16.67%","147.52%","25.00%","-49.90%","147.52%","-","1.010","2.500","2.500"
"4","HMNY","Helios & Matheson Analytics","0.000","75.00%","184.825","0.000","-","222903.632","222903.632","16.67%","75.00%","-41.67%","75.00%","75.00%","-88.89%","250.00%","-","0.000","0.000","0.000"
"5","MDVL","MedAvail","1.960","39.01%","440726899","1.870","亏损","138197487.12","94763624.48","96.00%","81.48%","115.41%","54.33%","-28.21%","-85.15%","40.00%","医药零售商","1.410","2.620","1.760"
"6","MPIR","EMPIRE DIVERSIFIED ENERGY INC","0.930","32.86%","11787.057","0.700","亏损","235863717","235863717","43.08%","80.93%","106.67%","283.51%","90.57%","121.43%","338.68%","-","0.700","0.930","0.698"
"7","MBLMF","MOBILUM TECHNOLOGIES INC","0.072","31.59%","901.256","0.055","亏损","11318973.772","11318973.772","-3.11%","-15.35%","-33.56%","-60.02%","-66.98%","-78.07%","-67.54%","-","0.055","0.072","0.051"
"8","VRUS","Verus International","0.008","28.33%","1264.315","0.007","亏损","131126.38","127134.569","-2.53%","-14.44%","9.22%","-3.75%","-78.90%","-95.25%","-3.75%","-","0.006","0.008","0.007"
"9","SEHCF","SWEET EARTH HOLDINGS CORPORATION","0.025","27.27%","826.304","0.028","亏损","2825380.681","2825380.681","-11.89%","-6.32%","-9.68%","-33.77%","-68.10%","-86.74%","-20.50%","-","0.020","0.028","0.025"
"10","NVMDF","NOVAMIND INC","0.223","27.22%","21618.106","0.251","亏损","9530987.972","9530987.972","-8.92%","-9.37%","30.27%","-46.69%","-67.53%","-77.06%","-46.84%","-","0.175","0.251","0.210"
"11","BCYC","Bicycle Therapeutics","46.990","24.54%","166267296","37.420","亏损","1390838965.84","913275742.66","8.17%","11.35%","5.86%","-7.45%","-17.92%","56.84%","-22.80%","生物技术","37.730","50.470","35.870"
"12","ATRX","ADHERA THERAPEUTICS INC","0.076","23.77%","1257.785","0.062","亏损","1175934.697","1175934.697","7.86%","0.67%","0.67%","-4.43%","-66.44%","11.85%","2.03%","-","0.061","0.076","0.062"
"13","MPXOF","MPX INTERNATIONAL CORPORATION","0.032","23.36%","207.876","0.023","亏损","4543134.453","4543134.453","24.53%","9.27%","12.79%","-31.12%","-48.73%","-64.91%","21.93%","-","0.026","0.032","0.023"
"14","SNWGF","SNOWLINE GOLD CORP","0.983","23.29%","197540.751","0.770","亏损","90835671.825","90835671.825","22.34%","25.96%","48.86%","109.58%","125.86%","96.74%","72.43%","-","0.797","1.065","0.770"
"15","AMSIY","ARCELORMITTAL SOUTH AFRICA LIMITED SPONS ADR EACH REP 1 ORD SHS","0.695","23.21%","1014.7","0.695","亏损","774656035","774656035","2.21%","4.51%","17.80%","45.64%","70.61%","308.82%","45.64%","-","0.564","0.695","0.695"
